C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,104","0,806","0,89","0,031","0,044","0,013","0,047","0,006","0,168",St Si
"0,262","0,219","0,525","0,021","0,04","0,035","0,051","0,002","0,145",St 48
"0,235","0,239","0,729","0,028","0,042","0,015","0,05","0,004","0,167",St 48
"0,116","0,848","0,737","0,023","0,038","0,053","0,07","0,006","0,172",St Si
"0,195","0,321","0,57","0,033","0,057","0,023","0,075","0,007","0,281",St 48
"0,13","0,438","0,691","0,02","0,037","0,02","0,044","0,004","0,437",St 48
"0,127","0,761","0,804","0,035","0,047","0,059","0,071","0,007","0,165",St Si
"0,284","0,233","0,635","0,022","0,042","0,009","0,05","0,003","0,175",St 48
"0,287","0,209","0,623","0,026","0,049","0,009","0,051","0,003","0,179",St 48
"0,313","0,234","0,647","0,022","0,045","0,009","0,05","0,003","0,177",St 48
"0,232","0,226","0,581","0,017","0,035","0,01","0,047","0,002","0,197",St 48
"0,218","0,19","0,721","0,04","0,054","0,018","0,051","0,002","0,179",St 48
"0,076","0,005","0,402","0,017","0,018","0,044","0,036","0,002","0,091",St 37
"0,29","0,205","0,53","0,025","0,045","0,035","0,049","0,002","0,144",St 48
"0,097","0,975","0,675","0,026","0,035","0,009","0,043","0,003","0,198",St Si
"0,133","0,834","0,9","0,015","0,048","0,023","0,112","0,055","0,366",St Si
"0,125","0,792","0,959","0,015","0,047","0,03","0,113","0,05","0,367",St Si
"0,07","0,005","0,428","0,008","0,018","0,005","0,027","0,002","0,098",St 37
"0,239","0,2","0,702","0,044","0,061","0,016","0,055","0,002","0,185",St 48
"0,15","0,227","0,539","0,017","0,034","0,009","0,052","0,004","0,195",St 48
"0,157","0,211","0,545","0,016","0,036","0,008","0,051","0,003","0,203",St 48
"0,206","0,242","0,569","0,017","0,034","0,008","0,051","0,003","0,203",St 48
"0,205","0,245","0,566","0,018","0,036","0,008","0,051","0,003","0,204",St 48
"0,217","0,235","0,709","0,044","0,042","0,015","0,052","0,002","0,194",St 48
"0,219","0,239","0,72","0,048","0,052","0,016","0,052","0,002","0,197",St 48
"0,224","0,239","0,709","0,036","0,045","0,016","0,051","0,003","0,193",St 48
"0,222","0,239","0,712","0,044","0,047","0,017","0,053","0,003","0,193",St 48
"0,112","0,685","0,64","0,021","0,033","0,008","0,072","0,011","0,185",St Si
"0,29","0,214","0,666","0,021","0,034","0,008","0,05","0,002","0,185",St 48
"0,253","0,23","0,666","0,021","0,041","0,009","0,051","0,003","0,183",St 48
"0,287","0,234","0,658","0,02","0,034","0,005","0,05","0,003","0,188",St 48
"0,291","0,231","0,665","0,023","0,042","0,006","0,051","0,002","0,188",St 48
"0,165","0,241","0,562","0,016","0,038","0,007","0,051","0,003","0,202",St 48
"0,069","0,005","0,392","0,02","0,028","0,008","0,035","0,002","0,122",St 37
"0,201","0,192","0,687","0,048","0,058","0,016","0,055","0,003","0,18",St 48
"0,138","0,811","0,88","0,035","0,051","0,006","0,037","0,005","0,143",St Si
